time_s,mission_phase,armed,flight_mode,latitude_deg,longitude_deg,absolute_altitude_m,relative_altitude_m,roll_deg,pitch_deg,yaw_deg
20.751,landing,True,LAND,47.3979711,8.5461634,2.5470001697540283,2.305000066757202,0.005609821993857622,-0.42682650685310364,96.87257385253906
20.952,landing,True,LAND,47.397971,8.5461633,2.4260001182556152,2.183000087738037,-0.007939864881336689,-0.4792323410511017,96.868896484375
21.153,landing,True,LAND,47.397971,8.5461633,2.2980000972747803,2.055000066757202,-0.009871622547507286,-0.4976341128349304,96.86258697509766
21.354,landing,True,LAND,47.397971,8.5461633,2.1650002002716064,1.9230000972747803,-0.0036055876407772303,-0.4835393726825714,96.85105895996094
21.555,landing,True,LAND,47.397971,8.5461634,2.0290000438690186,1.787000060081482,0.03780554607510567,-0.4376130998134613,96.83301544189453
21.756,landing,True,LAND,47.3979711,8.5461634,1.8920000791549683,1.6490000486373901,0.07768478989601135,-0.37748271226882935,96.84078979492188
21.957,landing,True,LAND,47.397971,8.5461635,1.7540000677108765,1.5110000371932983,0.07643909752368927,-0.32044747471809387,96.8597412109375
22.158,landing,True,LAND,47.397971,8.5461635,1.6150001287460327,1.3730000257492065,0.05887758731842041,-0.26555848121643066,96.86961364746094
22.359,landing,True,LAND,47.3979711,8.5461636,1.4780000448226929,1.2350000143051147,0.07222359627485275,-0.2123367339372635,96.86351776123047
22.56,landing,True,LAND,47.3979711,8.5461637,1.3410000801086426,1.0980000495910645,0.10907073318958282,-0.1845349371433258,96.8506851196289
22.761,landing,True,LAND,47.3979711,8.5461638,1.2010000944137573,0.9590000510215759,0.16583293676376343,-0.16313563287258148,96.84104919433594
22.962,landing,True,LAND,47.3979712,8.5461638,1.059000015258789,0.8170000314712524,0.21536807715892792,-0.1408439427614212,96.83747100830078
23.163,landing,True,LAND,47.3979712,8.5461639,0.9200000166893005,0.6770000457763672,0.2478475123643875,-0.14657635986804962,96.84120178222656
23.364,landing,True,LAND,47.3979712,8.5461639,0.7820000648498535,0.5390000343322754,0.24450936913490295,-0.1753799319267273,96.84310150146484
23.565,landing,True,LAND,47.3979712,8.5461639,0.6290000081062317,0.38600000739097595,0.20019540190696716,-0.21174904704093933,96.83790588378906
23.766,landing,True,LAND,47.3979712,8.5461639,0.492000013589859,0.24900001287460327,0.14675629138946533,-0.2368757277727127,96.83611297607422
