time_sec,true_angle_deg,accel_angle_deg,gyro_angle_deg,complementary_angle_deg,measured_gyro_rate_deg_s
3.820,6.168288,2.336126,8.317049,6.724039,-10.514368
3.830,6.068945,4.776409,8.212674,6.582799,-10.437539
3.840,5.967564,7.677659,8.103465,6.497671,-10.920911
3.850,5.864147,4.328935,7.998677,6.351604,-10.478790
3.860,5.758694,1.736678,7.901725,6.164293,-9.695212
3.870,5.651209,7.322597,7.803417,6.091117,-9.830778
3.880,5.541692,8.349428,7.701097,6.036010,-10.232004
3.890,5.430148,5.317660,7.583240,5.906142,-11.785738
3.900,5.316581,0.414467,7.456183,5.671794,-12.705639
3.910,5.200997,6.965921,7.346028,5.589724,-11.015552
3.920,5.083401,0.933681,7.229655,5.382557,-11.637303
3.930,4.963799,5.735797,7.118730,5.280916,-11.092508
3.940,4.842200,2.623541,7.007752,5.119010,-11.097796
3.950,4.718612,1.819014,6.890279,4.937887,-11.747237
3.960,4.593044,3.488269,6.775807,4.796711,-11.447242
3.970,4.465505,4.007261,6.655122,4.662652,-12.068466
3.980,4.336007,2.725486,6.534891,4.506081,-12.023160
3.990,4.204561,5.676319,6.402839,4.400076,-13.205136
4.000,4.071179,2.956006,6.273059,4.244010,-12.978002
4.010,3.935875,6.386352,6.144375,4.160746,-12.868459
4.020,3.798661,4.501594,6.018779,4.044479,-12.559597
4.030,3.659554,1.915661,5.881582,3.867450,-13.719647
4.040,3.518568,1.353719,5.749834,3.688062,-13.174771
4.050,3.375720,-0.743021,5.609937,3.462341,-13.989766
4.060,3.231027,3.957859,5.469389,3.334515,-14.054780
4.070,3.084505,2.198036,5.334599,3.179691,-13.478967
4.080,2.936175,-2.994314,5.175430,2.900225,-15.916975
4.090,2.786055,1.446768,5.020053,2.718886,-15.537682
4.100,2.634165,0.381580,4.861431,2.516691,-15.862188
4.110,2.480526,6.419720,4.694259,2.430923,-16.717150
4.120,2.325160,-1.931787,4.538614,2.191137,-15.564496
4.130,2.168088,-1.435289,4.392697,1.975610,-14.591699
4.140,2.009335,4.784259,4.236836,1.879038,-15.586178
4.150,1.848923,5.240831,4.083189,1.795700,-15.364654
4.160,1.686877,-0.175580,3.935053,1.611101,-14.813646
4.170,1.523222,-0.056992,3.787228,1.432871,-14.782453
4.180,1.357985,2.898573,3.626659,1.304828,-16.056872
4.190,1.191191,-4.626558,3.475930,1.038485,-15.072962
4.200,1.022868,-3.630116,3.313593,0.786023,-16.233639
4.210,0.853044,0.151211,3.142334,0.605493,-17.125943
4.220,0.681748,4.556474,2.971561,0.517155,-17.077334
4.230,0.509008,-0.580317,2.792270,0.319500,-17.929074
4.240,0.334855,0.587197,2.616320,0.152424,-17.594959
4.250,0.159319,2.993792,2.443244,0.039637,-17.307586
4.260,-0.017568,5.249643,2.278126,-0.017979,-16.511874
4.270,-0.195776,-1.637897,2.119041,-0.206281,-15.908483
4.280,-0.375270,-0.417362,1.933862,-0.391978,-18.517929
4.290,-0.556019,3.999119,1.761645,-0.472929,-17.221674
4.300,-0.737989,-4.543487,1.576758,-0.735530,-18.488732
4.310,-0.921145,1.647807,1.402823,-0.858319,-17.393452
4.320,-1.105453,-3.651242,1.222908,-1.090494,-17.991486
4.330,-1.290878,-1.034697,1.028296,-1.280097,-19.461188
4.340,-1.477383,-2.083930,0.854696,-1.466303,-17.360059
4.350,-1.664932,-4.059961,0.667803,-1.701331,-18.689262
4.360,-1.853488,-4.311243,0.480491,-1.937095,-18.731229
4.370,-2.043014,-1.351978,0.287941,-2.114091,-19.254988
4.380,-2.233472,0.255377,0.097802,-2.253038,-19.013873
4.390,-2.424823,-2.749163,-0.084553,-2.441669,-18.235527
4.400,-2.617028,-2.441746,-0.272680,-2.626035,-18.812716
4.410,-2.810049,-1.382114,-0.457459,-2.782240,-18.477915
4.420,-3.003845,-5.432892,-0.642728,-3.016816,-18.526829
4.430,-3.198377,-1.349145,-0.821041,-3.158209,-17.831315
4.440,-3.393602,-1.345244,-1.013336,-3.310399,-19.229466
4.450,-3.589481,2.919584,-1.215335,-3.383759,-20.199991
4.460,-3.785972,-4.726233,-1.397574,-3.589202,-18.223831
4.470,-3.983033,-5.128238,-1.591551,-3.810080,-19.397705
4.480,-4.180623,-2.258208,-1.774466,-3.958300,-18.291509
4.490,-4.378697,-2.330937,-1.963695,-4.111197,-18.922882
4.500,-4.577214,-5.914932,-2.157461,-4.337162,-19.376591
4.510,-4.776131,-5.784037,-2.347765,-4.552598,-19.030426
4.520,-4.975403,-3.622576,-2.525585,-4.708261,-17.782039
4.530,-5.174988,-7.243948,-2.702688,-4.932536,-17.710278
4.540,-5.374840,-6.401175,-2.896098,-5.151450,-19.340953
4.550,-5.574917,-5.350935,-3.088982,-5.344466,-19.288459
4.560,-5.775173,-3.285326,-3.274695,-5.485282,-18.571309
4.570,-5.975563,-7.487059,-3.475896,-5.722494,-20.120032
